bearID,sampleDate,sampleTime,latitude,longitude,agency,sex,bearAge,ageCode,cubAgeClass,reproClass,SLBL,correctedSLBL,girth,mass,cortisolAssay_pg_mg,,
96,1984-10-28,9:30,71.1000,-150.6667,usgs,F,4,S,NA,SF,NA,NA,NA,NA,4.9479,,
97,1985-03-21,16:00,70.7500,-146.7000,usgs,M,4,S,NA,SM,187,200.74,129,235.87,5.1097,,
98,1987-04-22,17:29,70.6333,-149.6167,usgs,F,13,A,C1,E0,180,193.76,114,176.90,5.4342,,
98,1988-04-18,11:00,70.2000,-143.7167,usgs,F,14,A,NA,UF,184,197.76,110,173.73,2.6351,,
98,1989-04-08,20:30,69.9667,-138.2667,usgs,F,15,A,C0,IF,NA,NA,NA,NA,3.9931,,
99,1985-03-27,16:39,70.4000,-140.3333,usgs,F,5,A,NA,SF,182,194.41,119,185.97,4.7794,,
100,1985-03-28,11:47,70.3667,-140.2833,usgs,F,3,S,NA,SF,163,175.41,102,138.35,4.5107,,
101,1985-03-30,11:33,70.7000,-145.7833,usgs,M,6,A,NA,AM,173,188.65,121,199.58,3.4364,,
102,1985-03-30,13:08,70.7500,-145.9500,usgs,F,5,A,NA,SF,183,195.41,110,179.17,6.0313,,
103,1985-04-02,13:30,71.3167,-147.1667,usgs,F,12,A,NA,UF,178,191.76,117,180.98,5.7658,,
104,1985-04-03,16:00,70.3167,-143.2500,usgs,F,6,A,NA,UF,177,190.76,112,173.73,6.1719,,
105,1985-04-04,12:27,70.2000,-143.1500,usgs,F,4,S,NA,SF,165,177.41,108,145.15,4.9146,,
106,1985-04-06,14:53,70.1000,-141.8167,usgs,F,3,S,NA,SF,172,184.41,109,167.38,4.0463,,
107,1985-04-08,16:00,71.2333,-147.2333,usgs,F,4,S,NA,SF,176,188.41,110,153.77,4.5328,,
107,1987-04-23,16:30,70.7500,-164.6167,usgs,F,6,A,NA,UF,181,194.76,106,161.03,4.1396,,
108,1985-04-09,11:00,71.0667,-147.8667,usgs,F,2,D,NA,DY,NA,NA,NA,NA,5.9266,,
109,1985-04-23,9:00,70.3000,-143.3333,usgs,F,4,S,NA,SF,181,193.41,103,142.88,5.0971,,
110,1985-04-23,11:00,70.2667,-142.7500,usgs,M,3,S,NA,SM,183,196.74,120,179.17,4.1568,,
111,1985-04-23,15:40,70.2667,-144.0833,usgs,F,7,A,NA,UF,183,196.76,117,201.85,5.1579,,
